SIS ID,School SIS ID,First Name,Last Name,Username,Middle Name,Status,Birthdate,Graduation Year,Quiz Duration(in min),Grade,Tab Switch Log
13001,10001,Ora,Klein,OKlein,Christopher,Active,04-02-2000,2018,3,10,1
13002,10001,Beulah,McMillan,BMcMillan,Lynn,Inactive,11-12-1999,2018,7,7,4
13003,10001,Florence,Stark,FStark,Brian,Inactive,12/19/1997,2018,10,5,5
13004,10001,Noah,Gilbertson,NGilbertson,,Active,6/20/2000,2018,2,8,1
13005,10001,Erna,Parker,EParker,Troy,Active,5/17/1998,2018,4,9,0
13006,10001,Sherry,Santana,SSantana,Thomas,,8/22/1999,2018,5,8,4
13007,10001,Ronald,Lees,RLees,Grace,Active,05-11-1998,2018,4,9,1
13008,10001,Latasha,Pratt,LPratt,Christopher,Inactive,8/13/1999,2018,9,5,3
13009,10001,Misty,Thomas,MThomas,Lynn,Active,07-06-2000,2018,4,8,0
13010,10001,Petra,Barlow,PBarlow,Francis,Active,3/19/1997,2018,2,9,1
13011,10001,Bonnie,Hampton,PHampton,Robert,Inactive,04-10-1998,2018,7,8,4
13012,10001,Dion,Matheson,DMatheson,James,Inactive,5/17/1999,,6,5,3
13013,10001,Cesar,McCray,CMcCray,Wilma,Active,2/17/2001,2018,2,10,1
13014,10001,Rickey,Cottle,Rcottle,Forrest,Active,08-09-2000,2018,4,9,4
13015,10001,Fredrick,Markley,Fmarkley,Noah,Active,6/17/1999,2018,3,8,0
13016,10001,Joshua,Bartels,Jbartels,Tracy,Active,3/19/2001,2018,4,10,0
13017,10001,Maribel,Parsons,Mparsons,Delmar,Active,03-10-2000,2018,3,9,3
13018,10001,Erma,Ballard,Eballard,Maya,Inactive,04-03-1998,2018,10,6,5
13019,10001,Wilfred,Bevins,Wbevins,Casey,Inactive,4/13/2001,2018,8,3,5
13020,10001,Rogelio,Cazares,Rcazares,,Inactive,02-01-2000,2018,9,4,4
13021,10001,Dixie,Morrison,Dmorrison,Chris,Inactive,08-12-1999,2018,10,5,0
13022,10001,Williams,Bisson,Wbisson,Roxanne,Inactive,03-06-2001,2018,7,6,3
13023,10001,Christie,Clayton,Cclayton,Sherman,Active,07-02-2000,2018,4,9,1
13024,10001,Angelina,Craig,Acraig,Daniel,Active,06-02-1999,2018,3,9,0
13025,10001,Earnest,Rome,Erome,Troy,Inactive,07-06-2001,2018,9,8,3
13026,10001,Madeline,Sargent,Msargent,Grace,Inactive,9/19/2000,2018,8,7,4
13027,10001,Gene,Angulo,Gangulo,Francis,Active,,2018,4,9,1
13028,10001,Daphne,Bentley,Dbentley,Robert,Inactive,4/15/1998,2018,7,7,1
13029,10001,Dora,Montgomery,Dmontgomery,Grace,Inactive,05-07-1999,2018,9,4,1
13030,10001,Bertha,Nolan,Bnolan,Christopher,Inactive,2/27/2001,2018,10,10,0
13031,10001,Stacey,Foltz,Sfoltz,Lynn,Inactive,8/29/2000,2018,7,4,1
13032,10001,Wilma,Aguirre,Waguirre,Francis,Active,6/16/1999,2018,4,9,1
13033,10001,Forrest,Downes,Fdownes,Robert,Inactive,3/13/2001,2018,10,4,1
13034,10001,Noah,Roger,Nroger,James,Inactive,03-11-2000,2018,7,8,5
13035,10001,Tracy,Baxley,Tbaxley,Wilma,Active,4/22/1998,2018,2,10,2
13036,10001,Federico,Fiore,FFiore,Pat,Active,04-02-2000,2018,3,8,5
13037,10001,Nancy,Mendoza,NMendoza,Corey,Inactive,11-12-1999,2018,6,8,2
13038,10001,Luther,Briley,LBriley,Kelly,Active,12/19/1997,2018,2,10,4
13039,10001,Norbert,Lunn,NLunn,Taylor,Active,6/20/2000,2018,4,8,1
13040,10001,Fidel,Obryan,FObryan,Kiley,Active,5/17/1998,2018,1,9,5
13041,10001,Byron,Montenegro,BMontenegro,Terry,Active,8/22/1999,2018,3,9,4
13042,10001,Blaine,Dulaney,BDulaney,Kris,,7/27/2000,2018,6,8,2
13043,10001,Dennis,Word,DWord,Pat,Inactive,3/25/1997,2018,7,8,0
13044,10001,Coy,Whiteman,CWhiteman,Corey,Inactive,4/29/1998,2018,8,5,0
13045,10001,Rosie,Ingram,RIngram,Kelly,Inactive,06-05-2000,2018,9,4,4
13046,10001,Anita,Miranda,AMiranda,Taylor,Inactive,10/13/1999,2018,4,5,0
13047,10001,Jerri,Noel,JNoel,Kiley,Active,05-11-1998,,4,10,2
13048,10001,Dona,Small,DSmall,Terry,Active,8/13/1999,2018,4,10,1
13049,10001,Erik,Theriault,ETheriault,Kris,Inactive,07-06-2000,2018,9,4,5
13050,10001,Earnestine,Mosley,Emosley,Pat,Inactive,3/19/1997,2018,8,4,0
13051,10001,Jimmie,Petty,JPetty,Corey,Active,04-10-1998,2018,3,8,4
13052,10001,Burton,Saul,BSaul,Kelly,Active,5/17/1999,2018,4,9,4
13053,10001,Juanita,Hardy,JHardy,Taylor,Active,2/17/2001,2018,2,8,3
13054,10001,Benny,Vanover,BVanover,Kiley,Active,08-09-2000,2018,3,9,3
13055,10001,Harrison,Badillo,HBadillo,Terry,Inactive,6/17/1999,2018,8,9,4
13056,10001,Jorge,Bevins,JBevins,Kris,Active,3/19/2001,2018,4,8,2
13057,10001,Briana,Tyson,BTyson,Pat,Active,03-10-2000,2018,2,10,2
13058,10001,Shelby,Abbott,SAbbott,Corey,Inactive,04-03-1998,2018,10,9,4
13059,10001,Carlos,Lauer,CLauer,Kelly,Inactive,4/13/2001,2018,9,5,5
13060,10001,Kristi,Kaufman,KKaufman,Taylor,Active,02-01-2000,2018,4,10,4
13061,10002,Sophia,Wilder,SWilder,,Inactive,08-12-1999,2019,9,7,1
13062,10002,Angelita,Valentine,AValentine,Terry,Inactive,03-06-2001,2019,7,7,5
13063,10002,Dexter,Wyant,DWyant,Kris,Active,07-02-2000,2019,2,8,3
13064,10002,Monique,McMillan,MMcMillan,Pat,Active,06-02-1999,2019,3,10,5
13065,10002,Miles,Runyan,MRunyan,Corey,Active,07-06-2001,2019,1,9,2
13066,10002,Liza,Grimes,LGrimes,Kelly,Inactive,9/19/2000,2019,9,7,0
13067,10002,Mara,Alford,MAlford,Taylor,Inactive,3/27/1997,2019,9,10,2
13068,10002,Alison,Ochoa,AOchoa,Kiley,Inactive,4/15/1998,2019,8,9,0
13069,10002,Leslie,Navarro,LNavarro,Terry,Inactive,05-07-1999,2019,10,9,4
13070,10002,Jo,Ochoa,JOchoa,Kris,Active,2/27/2001,,4,7,4
13071,10002,Jacklyn,Steele,JSteele,Pat,Inactive,8/29/2000,2019,9,9,2
13072,10002,Karyn,Dale,KDale,Corey,Inactive,6/16/1999,2019,10,5,2
13073,10002,Ines,Meyers,IMeyers,Kelly,Inactive,,2019,9,7,3
13074,10002,Vincent,Doucette,VDoucette,Taylor,Inactive,03-11-2000,2019,8,10,4
13075,10002,Noemi,Chase,NChase,Kiley,Active,4/22/1998,2019,2,9,5
13076,10002,Daryl,Flemming,DFlemming,Terry,Inactive,04-02-2000,2019,8,5,1
13077,10002,Winnie,Carson,WCarson,Kris,Inactive,11-12-1999,2019,7,6,4
13078,10002,Ilene,Valentine,IValentine,Pat,Active,12/19/1997,2019,2,8,5
13079,10002,Alton,Wooley,AWooley,Corey,Inactive,6/20/2000,2019,9,6,2
13080,10002,Lizzie,Stokes,LStokes,Kelly,Active,5/17/1998,2019,4,9,3
13081,10002,Amos,Crumpton,ACrumpton,Taylor,Inactive,8/22/1999,2019,7,7,0
13082,10002,Belinda,Orr,BOrr,Kiley,Inactive,7/27/2000,2019,10,10,0
13083,10002,Desiree,Hawkins,DHawkins,Terry,Active,3/25/1997,2019,1,9,4
13084,10002,Dane,McCullough,DMcCullough,Kris,Inactive,4/29/1998,2019,10,8,5
13085,10002,Genevieve,Cole,GCole,Pat,Inactive,06-05-2000,2019,8,4,5
13086,10002,Ramiro,Skeen,RSkeen,Corey,Active,10/13/1999,2019,2,8,0
13087,10002,Anurag,Taparia,ATaparia,kumar,Active,14-03-2001,2019,3,8,4
13088,10003,Shwetali,Desai,Sdesai,Satish,Active,13-04-2001,2020,3,9,0
13089,10003,Keshav,Toshniwal,KToshniwal,Naresh,Inactive,27-05-2000,2020,10,4,2
13090,10003,Adam,Levin,Alevin,Rob,Inactive,12-09-2000,2020,9,10,3
13091,10003,Ken,Johnsom,Kjohn,Bob,Active,17-03-2001,2020,4,9,2
13092,10003,Olivia,Diaz,Odiaz,John,Active,13-02-2001,2020,2,10,0
13093,10003,Seema,Rane,Srane,Arun,Inactive,15-01-2001,2020,9,10,1
13094,10003,Izzy,Stevens,Isteven,George,Active,,2020,2,9,1
13095,10003,Derek,Grey,Dgrey,Thatcher,Active,19-05-2001,2020,3,8,1
13096,10003,Ellen,Sheperd,Eshpered,Kevin,Inactive,19-06-1999,2020,8,8,0
13097,10003,Nick,Jonas,Njonas,Junior,Inactive,21-10-2000,2020,7,10,0
13098,10003,Emily,Miller,EMiller,Nick,Active,23-04-1999,2020,2,10,1
13099,10003,Ayushi,Singh,ASing,Dewansh,Inactive,25-06-2001,2020,7,5,4
13100,10003,James,Clear,JClear,Junior,Active,01-09-2000,2020,1,9,3
13101,10003,Mark,Stoinis,MStoinis,,Inactive,23-10-2001,2020,10,2,2
13102,10003,shelden,cooper,scooper,christhoper,Inactive,03-06-2001,2020,10,8,1
13103,10003,leanord,holfstater,lestater,harry,Active,06-05-2000,2020,2,9,1
13104,10003,vedant,dawange,vadawange,avinash,Active,05-11-1998,2020,2,10,0
13105,10003,rajesh,patil,rajpatil,karan,Inactive,08-09-2000,2020,9,8,5
13106,10003,smitesh,fulfagar,smitgar,jitendra,Inactive,04-02-2000,2020,9,9,1
13107,10003,khushi,aher,khushaher,rajesh,Active,2/17/2001,2020,4,8,0
